Object Number,Collection,Name,Description,combined_text,Maker,Place Made,Date Made,Materials,Measurements,Collection Online Title
1926-607/23,SCM - Textiles Machinery,bobbin,"Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified),,Wooden bobbin for the textile spinning machine
1926-607/24,SCM - Textiles Machinery,bobbin,"Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified),,Wooden bobbin for the textile spinning machine
1926-607/25,SCM - Textiles Machinery,bobbin,"Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified),,Wooden bobbin for the textile spinning machine
1926-607/26,SCM - Textiles Machinery,bobbin,"Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified),,Wooden bobbin for the textile spinning machine
1926-607/27,SCM - Textiles Machinery,bobbin,"Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified),,Wooden bobbin for the textile spinning machine
1926-607/28,SCM - Textiles Machinery,bobbin,"Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified),,Wooden bobbin for the textile spinning machine
1926-607/29,SCM - Textiles Machinery,bobbin,"Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified),,Wooden bobbin for the textile spinning machine
1926-607/30,SCM - Textiles Machinery,bobbin,"Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified),,Wooden bobbin for the textile spinning machin
1926-607/31,SCM - Textiles Machinery,bobbin,"Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified),,Wooden bobbin for the textile spinning machine
1926-607/32,SCM - Textiles Machinery,bobbin,"Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified),,Wooden bobbin for the textile spinning machine
1926-607/33,SCM - Textiles Machinery,bobbin,"Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified),,Wooden bobbin for the textile spinning machine
1926-607/34,SCM - Textiles Machinery,bobbin,"Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified),,Wooden bobbin for the textile spinning machine
1926-607/35,SCM - Textiles Machinery,bobbin,"Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified),,Wooden bobbin for the textile spinning machine
1926-607/36,SCM - Textiles Machinery,bobbin,"Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified),,Wooden bobbin for the textile spinning machine
1926-607/37,SCM - Textiles Machinery,bobbin,"Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified),,Wooden bobbin for the textile spinning machine
1926-607/38,SCM - Textiles Machinery,bobbin,"Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified),,Wooden bobbin for the textile spinning machine
1926-607/39,SCM - Textiles Machinery,bobbin,"Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified); textile,,"Wooden bobbin with thread, for the textile spinning machine"
1926-607/40,SCM - Textiles Machinery,bobbin,"Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified); textile,,"Wooden bobbin with thread, for the textile spinning machine"
1926-607/41,SCM - Textiles Machinery,bobbin,"Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified); textile,,"Wooden bobbin with thread, for the textile spinning machine"
1926-607/42,SCM - Textiles Machinery,bobbin,"Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified); textile,,"Wooden bobbin with thread, for the textile spinning machine"
1926-607/43,SCM - Textiles Machinery,bobbin,"Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified); textile,,"Wooden bobbin with thread, for the textile spinning machine"
1926-607/44,SCM - Textiles Machinery,bobbin,"Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified); textile,,"Wooden bobbin with thread, for the textile spinning machine"
1926-607/45,SCM - Textiles Machinery,bobbin,"Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified); textile,,"Wooden bobbin with thread, for the textile spinning machine"
1926-607/46,SCM - Textiles Machinery,bobbin,"Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified); textile,,"Wooden bobbin with thread, for the textile spinning machine"
1926-607/47,SCM - Textiles Machinery,bobbin,"Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified); textile,,"Wooden bobbin with thread, for the textile spinning machine"
1926-607/48,SCM - Textiles Machinery,bobbin,"Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified); textile,,"Wooden bobbin with thread, for the textile spinning machine"
1926-607/49,SCM - Textiles Machinery,bobbin,"Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926","bobbin: Wooden bobbin with thread, for the textile spinning machine, by Wilson Brothers Bobbin Company Limited, Liverpool, England, 1920-1926",Wilson Bros. Ltd.,"Liverpool, Merseyside, England, United Kingdom",1920-1926,wood (unidentified); textile,,"Wooden bobbin with thread, for the textile spinning machine"
1926-643,SCM - Textiles Machinery,model carpet loom,Model hand carpet loom and woven rug sample to illustrate method of weaving Persian rugs.,model carpet loom: Model hand carpet loom and woven rug sample to illustrate method of weaving Persian rugs.,,,,wood,overall: 760 x 500 x 510 mm,Model hand carpet loom and woven rug sample to ill
1926-815,SCM - Textiles Machinery,winding wheel,Early wrap or winding  wheel with counter.,winding wheel: Early wrap or winding  wheel with counter.,,,,wood,overall: 820 x 760 x 340 mm,Early wrap or winding  wheel with counter.
1927-250,SCM - Textiles Machinery,lock stitch sewing machine,Early Wheeler and Wilson hand-powered lock stitch sewing machine of a design of about 1867; this model was made around 1885.,lock stitch sewing machine: Early Wheeler and Wilson hand-powered lock stitch sewing machine of a design of about 1867; this model was made around 1885.,Wheeler and Wilson Manufacturing Company,"Bridgeport, Fairfield county, Connecticut, United States",,polished wood; cast iron; steel; wrought iron,overall (without handle): 315 x 260 x 445 mm,Early Wheeler and Wilson hand-powered lock stitch sewing mac
1927-449,SCM - Textiles Machinery,print,Coloured print of the gearing of Crompton's Mule 1779,print: Coloured print of the gearing of Crompton's Mule 1779,,,,,,Coloured print of the gearing of Crompton's Mule 1
1928-107,SCM - Textiles Machinery,draw loom pulleys,"Five Swedish loom pulleys (lever with pulleys for working draw loom), 1728-1742.","draw loom pulleys: Five Swedish loom pulleys (lever with pulleys for working draw loom), 1728-1742.",Unknown maker,Sweden,1728-1742,wood,largest pulley: 460 x 60 x 50 mm,Five Swedish loom pulleys (lever with pulleys for 
1928-1063/1,SCM - Textiles Machinery,Carding machine,Carding Engine,Carding machine: Carding Engine,,,,,"overall: 1680 mm x 1420 mm x 3100 mm,",Carding Engine
1928-1063/2,SCM - Textiles Machinery,Carding machine,Sliver coiler (in use engage with spur tooth drive on main engine),Carding machine: Sliver coiler (in use engage with spur tooth drive on main engine),,,,,,Sliver coiler (in use engage with spur tooth drive
1928-1063/3,SCM - Textiles Machinery,,Two weights,: Two weights,,,,,,Two weights
1928-1063/4,SCM - Textiles Machinery,,Revolving can for collecting and transporting slivers (stands inside /2 when being fitted),: Revolving can for collecting and transporting slivers (stands inside /2 when being fitted),,,,,,Revolving can for collecting and transporting sliv
1928-1063/5,SCM - Textiles Machinery,,"Components of main carding engine, being loose top calender roller with toothed drive pinion; top calender cover, oscillating comb and fixing plate and sholdered bolt, a stripping knife & a padding covered steel roller",": Components of main carding engine, being loose top calender roller with toothed drive pinion; top calender cover, oscillating comb and fixing plate and sholdered bolt, a stripping knife & a padding covered steel roller",,,,,,"Components of main carding engine, being loose top"
1929-249,SCM - Textiles Machinery,,Pair cloth shears and accessories,: Pair cloth shears and accessories,,,,,,Pair cloth shears and accessories
1929-250,SCM - Textiles Machinery,model of pile cross cutting machine,"Brass model of cross-cutting machine invented by C.F. Davis in 1827, based on a patent of 1820.","model of pile cross cutting machine: Brass model of cross-cutting machine invented by C.F. Davis in 1827, based on a patent of 1820.",Unknown source,,,brass; polished wood,,Brass model of cross-cutting machine invented by C
1929-1050,SCM - Textiles Machinery,sewing machine attachments and samples,"Five sewing machine attachments, and eleven specimens of work done, in glazed frame.","sewing machine attachments and samples: Five sewing machine attachments, and eleven specimens of work done, in glazed frame.",Singer Manufacturing Company,"Kilbowie, Clydebank, West Dunbartonshire, Scotland, United Kingdom",1929,wood; glazing; chrome; steel,case size: 565 x 810 x 9 mm,"Five sewing machine attachments, and eleven specimens of wor"
1930-112,SCM - Textiles Machinery,hand loom,"Early hand loom for braid making, 1850.","hand loom: Early hand loom for braid making, 1850.",Unknown maker,"Edinburgh, Scotland, United Kingdom, Scotland",1850,mahogany; ivory,overall: 360 x 180 x 440 mm,"Early hand loom for braid making, 1850."
1931-246,SCM - Textiles Machinery,spinning wheel,17th century spindle wheel,spinning wheel: 17th century spindle wheel,Unknown source,,1601-1700,wood,overall: 370 x 280 x 530 mm,17th century spindle wheel
1931-402,SCM - Textiles Machinery,flax seed,"Small bag containing flax seed, and small glass dish","flax seed: Small bag containing flax seed, and small glass dish",,,,,,"Small bag containing flax seed, and small glass di"
1931-403,SCM - Textiles Machinery,"linen samples, Ancient Egyptian","Four samples of Ancient Egyptian cloth of pure linen, 1500-1000 BC mounted on board","linen samples, Ancient Egyptian: Four samples of Ancient Egyptian cloth of pure linen, 1500-1000 BC mounted on board",Unknown maker,Egypt,1500-1000 BCE,linen,overall: 780 x 530 mm,Four samples of Ancient Egyptian cloth of pure lin
1931-404,SCM - Textiles Machinery,"linen samples, Ancient Egyptian","Two samples of Ancient Egyptian fine linen, coloured border, XVIII to XXII Dynasty, mounted on board and dated 1600-1000 B.C.","linen samples, Ancient Egyptian: Two samples of Ancient Egyptian fine linen, coloured border, XVIII to XXII Dynasty, mounted on board and dated 1600-1000 B.C.",Unknown maker,Egypt,1600-1000 BCE,linen,,"Two samples of Ancient Egyptian fine linen, colour"
1931-405,SCM - Textiles Machinery,"linen sample, Ancient Egyptian","Sample of I Dynasty Egyptian cloth mounted on board, c. 3000 BC.","linen sample, Ancient Egyptian: Sample of I Dynasty Egyptian cloth mounted on board, c. 3000 BC.",Unknown source,,,linen,overall: 780 x 530 x 15 mm,Sample of I Dynasty Egyptian cloth mounted on boar
1931-406,SCM - Textiles Machinery,samples,Sample of modern Irish sheer linen mounted on board,samples: Sample of modern Irish sheer linen mounted on board,,,,,,Sample of modern Irish sheer linen mounted on boar
1931-407,SCM - Textiles Machinery,,Beet or bundle of flax,: Beet or bundle of flax,,,,,,Beet or bundle of flax
1931-408,SCM - Textiles Machinery,,"Three small bundles of flax straw. 

Only two have been counted. One bundle is potentially missing [Lisa Kennedy, 03/01/2019].",": Three small bundles of flax straw. 

Only two have been counted. One bundle is potentially missing [Lisa Kennedy, 03/01/2019].",,,,,,Three small bundles of flax straw
1931-409,SCM - Textiles Machinery,,"Flax bolls or capsules in small earthenware dish, flax chaff in small earthenware dish, sample of flax seed cleaned ready for sowing in small earthenware dish",": Flax bolls or capsules in small earthenware dish, flax chaff in small earthenware dish, sample of flax seed cleaned ready for sowing in small earthenware dish",,,,,,"Flax bolls or capsules in small earthenware dish, "
1931-410,SCM - Textiles Machinery,,Small bundle of retted straw,: Small bundle of retted straw,,,,,,Small bundle of retted straw
1931-411,SCM - Textiles Machinery,,Small bundle of broken straw,: Small bundle of broken straw,,,,,,Small bundle of broken straw
1931-412,SCM - Textiles Machinery,samples,"Sample of shives, on woody core of flax stem, in small earthenware dish","samples: Sample of shives, on woody core of flax stem, in small earthenware dish",,,,,,"Sample of shives, on woody core of flax stem, in s"
1931-413,SCM - Textiles Machinery,,"Fourteen pound bundle of scutched fibre, ready for market",": Fourteen pound bundle of scutched fibre, ready for market",,,,,,"Fourteen pound bundle of scutched fibre, ready for"
1931-414,SCM - Textiles Machinery,Linen sample,"Three samples of tow:- scutched tow, rescutched tow and pluckings","Linen sample: Three samples of tow:- scutched tow, rescutched tow and pluckings",,,,,,"Three samples of tow:- scutched tow, rescutched to"
1931-415,SCM - Textiles Machinery,samples,"Small sample of scutched fibre - dark, poor, - Northern Ireland","samples: Small sample of scutched fibre - dark, poor, - Northern Ireland",,,,,,"Small sample of scutched fibre - dark, poor, - Nor"
1931-422,SCM - Textiles Machinery,,Two bundles of fibre strand - long and short,: Two bundles of fibre strand - long and short,,,,,,Two bundles of fibre strand - long and short
1931-423,SCM - Textiles Machinery,,Bundle of dew-retted straw,: Bundle of dew-retted straw,,,,,,Bundle of dew-retted straw
1931-424,SCM - Textiles Machinery,,Rougher's tool,: Rougher's tool,,,,,,Rougher's tool
1931-425,SCM - Textiles Machinery,flax hackling tools,"One coarse and one fine pinned hackling tool, from a flax hackling machine.","flax hackling tools: One coarse and one fine pinned hackling tool, from a flax hackling machine.",Unknown source,,,brass; wood; steel,Each tool: 25 x 26 x 280 mm,"One coarse and one fine pinned hackling tool, from"
1931-426,SCM - Textiles Machinery,flax hackling machine holder with flax,"Holder of a hackling machine gripping a bundle of flax, for linen manufacture.","flax hackling machine holder with flax: Holder of a hackling machine gripping a bundle of flax, for linen manufacture.",Unknown maker,"Northern Ireland, United Kingdom",,cast iron; sponge rubber,hackling clamp only: 280 x 90 x 140 mm,Holder of a hackling machine gripping a bundle of 
1931-427,SCM - Textiles Machinery,hand hackling tool for flax,Sorter's switch from a machine for linen manufacture.,hand hackling tool for flax: Sorter's switch from a machine for linen manufacture.,H. Taylor and Sons Ltd.,"Belfast, Belfast, Northern Ireland, United Kingdom",,brass sheet; wood; steel,overall: 40 x 65 x 230 mm,Sorter's switch from a machine for linen manufactu
1931-428,SCM - Textiles Machinery,,Piece of sorted flax,: Piece of sorted flax,,,,,,Piece of sorted flax
1931-429,SCM - Textiles Machinery,linen sample,"Piece of machine tow, produced by hackling machine","linen sample: Piece of machine tow, produced by hackling machine",,,,,,"Piece of machine tow, produced by hackling machine"
1931-430,SCM - Textiles Machinery,casding,"Five samples of card covers:- top worker, bottom worker, doffer, cylinder and strippers","casding: Five samples of card covers:- top worker, bottom worker, doffer, cylinder and strippers",,,,,,"Five samples of card covers:- top worker, bottom w"
1931-431,SCM - Textiles Machinery,gill card,Gill from spreadboard for linen manufacture.,gill card: Gill from spreadboard for linen manufacture.,Unknown maker,"Northern Ireland, United Kingdom",,brass; steel,overall: 35 x 10 x 130 mm,Gill from spreadboard for linen manufacture.
1931-432,SCM - Textiles Machinery,gill part from a doubler machine,Gill from a doubler machine for linen manufature.,gill part from a doubler machine: Gill from a doubler machine for linen manufature.,Unknown maker,"Northern Ireland, United Kingdom",,brass; steel,overall: 25 x 8 x 92 mm,Gill from a doubler machine for linen manufature.
1931-433,SCM - Textiles Machinery,drawings,Four gills off drawing frames,drawings: Four gills off drawing frames,,,,,,Four gills off drawing frames
1931-433/1,SCM - Textiles Machinery,textiles equipment,"Gill, from drawing frame","textiles equipment: Gill, from drawing frame",,,,,,"Gill, from drawing frame"
1931-433/2,SCM - Textiles Machinery,textiles equipment,"Gill, from drawing frame","textiles equipment: Gill, from drawing frame",,,,,,"Gill, from drawing frame"
1931-433/3,SCM - Textiles Machinery,textiles equipment,"Gill, from drawing frame","textiles equipment: Gill, from drawing frame",,,,,,"Gill, from drawing frame"
1931-433/4,SCM - Textiles Machinery,textiles equipment,"Gill, from drawing frame","textiles equipment: Gill, from drawing frame",,,,,,"Gill, from drawing frame"
1931-434,SCM - Textiles Machinery,,Gill off roving frame,: Gill off roving frame,,,,,,Gill off roving frame
1931-436,SCM - Textiles Machinery,drawing and doubling process,"Model illustrating the drawing and doubling process, glazed passepartout.","drawing and doubling process: Model illustrating the drawing and doubling process, glazed passepartout.",Unknown source,,,polished wood; glass; flax,overall: 480 x 510 x 15 mm,Model illustrating the drawing and doubling proces
1931-437,SCM - Textiles Machinery,flax samples,"Eight samples of slivers from preparing system - fine flax, mounted and glazed (passepartout) in one mount","flax samples: Eight samples of slivers from preparing system - fine flax, mounted and glazed (passepartout) in one mount",Unknown maker,"Northern Ireland, United Kingdom",,flax; wood; glass,overall (mounted in frame): 185 x 750 x 8 mm,Eight samples of slivers from preparing system - f
1931-438,SCM - Textiles Machinery,,Flyer and bobbin off roving frame,: Flyer and bobbin off roving frame,,,,,,Flyer and bobbin off roving frame
1931-439,SCM - Textiles Machinery,linen sample,Bobbin of tow rove,linen sample: Bobbin of tow rove,,,,,,Bobbin of tow rove
1931-440,SCM - Textiles Machinery,linen sample,Bobbin of line rove,linen sample: Bobbin of line rove,,,,,,Bobbin of line rove
1931-441,SCM - Textiles Machinery,linen sample,Bobbin of finest line rove,linen sample: Bobbin of finest line rove,,,,,,Bobbin of finest line rove
1931-442,SCM - Textiles Machinery,flyer spindle and bobbin,"Spindle, flyer and bobbin from a flax  wet spinning frame for linen manufacture.","flyer spindle and bobbin: Spindle, flyer and bobbin from a flax  wet spinning frame for linen manufacture.",Unknown maker,"Northern Ireland, United Kingdom",,steel,overall: 440 x 60 mm,"Spindle, flyer and bobbin from a flax  wet spinnin"
1931-443,SCM - Textiles Machinery,,Bobbin of dry spin yarn,: Bobbin of dry spin yarn,,,,,,Bobbin of dry spin yarn
1931-444,SCM - Textiles Machinery,,Four hanks of yarn:- dry spun (heavy); dry spun (fine); medium wet spun; fine wet spun,: Four hanks of yarn:- dry spun (heavy); dry spun (fine); medium wet spun; fine wet spun,,,,,,Four hanks of yarn:- dry spun (heavy); dry spun (f
1931-447,SCM - Textiles Machinery,,"One hank natural grey; one hank black; and one reel black polished, of black sewing thread",": One hank natural grey; one hank black; and one reel black polished, of black sewing thread",,,,,,One hank natural grey; one hank black; and one ree
1931-448,SCM - Textiles Machinery,,"One coil dyed and polished, and one reel untreated, of cabled thread",": One coil dyed and polished, and one reel untreated, of cabled thread",,,,,,"One coil dyed and polished, and one reel untreated"
1931-450,SCM - Textiles Machinery,Carpet Threads,"Three  hanks (red, white  and green) of satin finished carpet thread.","Carpet Threads: Three  hanks (red, white  and green) of satin finished carpet thread.",,,,,,Three hanks of satin finished carpet thread
1931-450 Pt1,SCM - Textiles Machinery,,One red coloured hank of satin carpet thread.,: One red coloured hank of satin carpet thread.,,,,,,Red coloured hank of satin carpet thread
1931-546,SCM - Textiles Machinery,,Bundle of scutched flax as received at spinning mill from market in bales,: Bundle of scutched flax as received at spinning mill from market in bales,,,,,,Bundle of scutched flax as received at spinning mi
1931-547,SCM - Textiles Machinery,Linen sample,Bundle of roughed flax ready for machine hackling,Linen sample: Bundle of roughed flax ready for machine hackling,,,,,,Bundle of roughed flax ready for machine hackling
1931-548,SCM - Textiles Machinery,,"Piece of hackled line or ""tipple"" as received from hackling machine",": Piece of hackled line or ""tipple"" as received from hackling machine",,,,,,"Piece of hackled line or ""tipple"" as received from"
1931-549,SCM - Textiles Machinery,flax seed,"Flax seed, in small glass dish, with spare glass cover","flax seed: Flax seed, in small glass dish, with spare glass cover",,,,,,"Flax seed, in small glass dish, with spare glass c"
1931-1200,SCM - Textiles Machinery,,"Three photomicrographs, on one mount, of Egyptian and Irish linen",": Three photomicrographs, on one mount, of Egyptian and Irish linen",,,,,,"Three photomicrographs, on one mount, of Egyptian and Irish "
1932-450,SCM - Textiles Machinery,model of fulling machine,"Model of a machine for fulling cloth, c. 1800, scale 1:12","model of fulling machine: Model of a machine for fulling cloth, c. 1800, scale 1:12",Unknown source,,1800,brass castings; wood,overall: 300 x 215 x 470 mm,"Model of a machine for fulling cloth, c. 1800, sca"
1933-354,SCM - Textiles Machinery,rotary fulling machine,"Model, scale 1:10, of rotary fulling machine, c. 1860","rotary fulling machine: Model, scale 1:10, of rotary fulling machine, c. 1860",,,1840 (original),brass; wood,overall: 200 x 210 x 290 mm,"Model, scale 1:10, of rotary fulling machine, c. 1"
1934-197,SCM - Textiles Machinery,winding wheel,"Winding wheel for flax with winder on stand, 18th century.","winding wheel: Winding wheel for flax with winder on stand, 18th century.",Unknown source,,1701-1800,wood; malleable iron,"overall: 890 mm x 1300 mm x 640 mm, 123kg; overall, inc pallet: 143kg","Winding wheel for flax with winder on stand, 18th "
1934-373,SCM - Textiles Machinery,chain stitch sewing machine,Single thread chain stitch sewing machine by Charles T. Judkins (patented 1865),chain stitch sewing machine: Single thread chain stitch sewing machine by Charles T. Judkins (patented 1865),"Judkins, Charles T.",,1865,cast iron; wrought iron; brass,overall: 190 x 130 x 250 mm,Single thread chain stitch sewing machine
1934-655,SCM - Textiles Machinery,Yarn preparation machine,Wool piecing machine,Yarn preparation machine: Wool piecing machine,,,,,,Wool piecing machine
1934-655/1,SCM - Textiles Machinery,,Machine. Note : there are clearly some wheels missing; but beyond that the machine is either substantially incomplete or has been assembled wrongly,: Machine. Note : there are clearly some wheels missing; but beyond that the machine is either substantially incomplete or has been assembled wrongly,,,,,,Machine. Note : there are clearly some wheels miss
